Found 1291 records.

ID: 1 | Date: 2026-02-16T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 180 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 181 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 200 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 201 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 220 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 221 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 240 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 241 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 260 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 261 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 280 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 281 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 300 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 301 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 320 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 321 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 340 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 341 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 360 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 361 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 380 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 381 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 400 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 401 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 423 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 424 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 446 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 447 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 469 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 470 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 492 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 493 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 515 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 516 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 538 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 539 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 561 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 562 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 584 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 585 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 607 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 608 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 630 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 631 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 653 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 654 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 676 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 677 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 699 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 700 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 722 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 723 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 745 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 746 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 768 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 769 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 791 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 792 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 814 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 815 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 837 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 838 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 860 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 861 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 883 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 884 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 906 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Bad]
ID: 907 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Good]
ID: 929 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 930 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 952 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 953 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 975 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 976 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 998 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 999 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1021 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1022 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1044 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1045 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1067 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1068 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1090 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1091 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1113 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1114 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1136 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1137 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1159 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1160 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1182 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1183 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1205 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1206 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1228 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1229 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1251 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1252 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 1274 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [breakfast] | Quality: [Bad]
ID: 1275 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 17 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 18 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 19 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 37 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 38 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 39 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 57 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 58 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 59 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 77 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 78 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 79 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 97 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 98 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 99 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 117 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 118 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 119 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 137 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 138 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 139 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 157 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 158 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 159 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 177 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 178 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 179 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 197 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 198 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 199 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 217 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 218 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 219 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 237 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 238 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 239 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 257 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 258 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 259 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 277 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 278 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 279 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 297 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 298 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 299 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 317 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 318 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 319 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 337 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 338 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 339 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 357 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 358 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 359 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 377 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 378 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 379 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 397 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Bad]
ID: 398 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Bad]
ID: 399 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Good]
ID: 420 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 421 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 422 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 443 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 444 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 445 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 466 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 467 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 468 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 489 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 490 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 491 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 512 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 513 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 514 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 535 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 536 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 537 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 558 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 559 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 560 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 581 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 582 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 583 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 604 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 605 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 606 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 627 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 628 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 629 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 650 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 651 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 652 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 673 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 674 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 675 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 696 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 697 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 698 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 719 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 720 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 721 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 742 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 743 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 744 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 765 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 766 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 767 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 788 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 789 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 790 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 811 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 812 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 813 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 834 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 835 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 836 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [dinner] | Quality: [Bad]
ID: 857 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess B] | Meal: [breakfast] | Quality: [Good]
ID: 858 | Date: 2026-02-12T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
